BJD - 2454833, Corrected Flux
2307.550903841, 0.809849333,
2307.571336040, 0.815532788,
2307.591768338, 0.819354431,
2307.612200436, 0.822162351,
2307.632632633, 0.823011801,
2307.653064929, 0.830465838,
2307.673497026, 0.837928755,
2307.693929221, 0.826282634,
2307.714361516, 0.812667947,
2307.734793611, 0.806706339,
2307.755225905, 0.818065856,
2307.775658099, 0.825413458,
2307.796090192, 0.824725400,
2307.816522485, 0.825133081,
2307.836954677, 0.825522704,
2307.857386769, 0.825629018,
2307.877819061, 0.825772846,
2307.898251252, 0.827007016,
2307.918683442, 0.827620805,
2307.939115632, 0.827457547,
2307.959547822, 0.827642012,
2307.979980011, 0.827741101,
2308.000412199, 0.828309170,
2308.020844387, 0.827717146,
2308.041276574, 0.826542846,
2308.061708862, 0.826558857,
2308.082140948, 0.825406524,
2308.102573235, 0.825924422,
2308.123005320, 0.825761781,
2308.143437505, 0.825501002,
2308.163869790, 0.824872751,
2308.184301874, 0.823060398,
2308.204734058, 0.822726924,
2308.225166341, 0.823061102,
2308.245598424, 0.823183704,
2308.266030606, 0.823335558,
2308.286462889, 0.824438542,
2308.306894970, 0.825016353,
2308.327327151, 0.825947141,
2308.347759431, 0.827846322,
2308.368191511, 0.829095711,
2308.388623690, 0.829830650,
2308.409055970, 0.829113334,
2308.429488148, 0.829536708,
2308.449920226, 0.830282535,
2308.470352504, 0.829353700,
2308.490784681, 0.828168794,
2308.531649034, 0.826805106,
2308.552081210, 0.825590394,
2308.572513385, 0.824237809,
2308.592945560, 0.823036541,
2308.613377734, 0.817804944,
2308.633810008, 0.802150561,
2308.654242081, 0.800049221,
2308.674674254, 0.811298551,
2308.695106527, 0.812030127,
2308.715538599, 0.810647807,
2308.735970770, 0.809209723,
2308.756403041, 0.808181187,
2308.776835112, 0.807290719,
2308.797267282, 0.808302826,
2308.817699552, 0.810835890,
2308.838131621, 0.812582927,
2308.858563789, 0.814352891,
2308.878996058, 0.814146409,
2308.899428125, 0.815088237,
2308.919860393, 0.815578487,
2308.940292460, 0.814617705,
2308.960724626, 0.815743326,
2308.981156892, 0.815409664,
2309.001589057, 0.815468275,
2309.022021122, 0.815536990,
2309.042453387, 0.815618496,
2309.062885551, 0.815043777,
2309.083317614, 0.813446787,
2309.103749877, 0.813748481,
2309.124182040, 0.813783291,
2309.144614102, 0.814656314,
2309.165046364, 0.815635620,
2309.185478525, 0.815889542,
2309.205910586, 0.817113083,
2309.226342846, 0.817843387,
2309.246775006, 0.818710396,
2309.267207165, 0.819804210,
2309.287639324, 0.819608472,
2309.308071483, 0.818872209,
2309.328503641, 0.819624914,
2309.348935798, 0.818509206,
2309.369367955, 0.817192370,
2309.389800212, 0.816758222,
2309.410232268, 0.815621836,
2309.430664424, 0.813899873,
2309.451096679, 0.811655240,
2309.471528834, 0.810315103,
2309.512393142, 0.814671208,
2309.532825295, 0.806291208,
2309.553257348, 0.793612063,
2309.573689601, 0.799037639,
2309.594121753, 0.809890299,
2309.614553804, 0.810467699,
2309.634986055, 0.809398118,
2309.655418106, 0.809163674,
2309.675850256, 0.808796859,
2309.696282506, 0.809197475,
2309.716714555, 0.808706819,
2309.737146704, 0.808194254,
2309.757578952, 0.807856739,
2309.778011000, 0.807026881,
2309.798443147, 0.808706549,
2309.818875394, 0.809824359,
2309.839307540, 0.809695882,
2309.859739687, 0.810019620,
2309.880171832, 0.809899191,
2309.900603977, 0.810153125,
2309.921036221, 0.810122089,
2309.941468266, 0.809669799,
2309.961900410, 0.808815409,
2309.982332653, 0.807498009,
2310.002764696, 0.806821953,
2310.023196838, 0.807236228,
2310.043629080, 0.807480127,
2310.064061121, 0.807734364,
2310.084493262, 0.807256763,
2310.104925503, 0.809876051,
2310.125357542, 0.812030848,
2310.145789682, 0.813891887,
2310.166221921, 0.813938764,
2310.186653960, 0.813241986,
2310.207086098, 0.812704770,
2310.227518336, 0.813334338,
2310.247950374, 0.813647466,
2310.268382510, 0.813759735,
2310.288814746, 0.812242114,
2310.309246882, 0.810717305,
2310.329679018, 0.808383717,
2310.350111153, 0.805316770,
2310.370543188, 0.807099023,
2310.390975422, 0.807022868,
2310.411407556, 0.808972522,
2310.431839589, 0.809649441,
2310.452271822, 0.799536606,
2310.493135986, 0.794705446,
2310.513568217, 0.799519274,
2310.534000348, 0.798280765,
2310.554432379, 0.796996774,
2310.574864609, 0.797980215,
2310.595296738, 0.798576993,
2310.615728767, 0.799827884,
2310.636160996, 0.800416538,
2310.656593124, 0.800206864,
2310.677025252, 0.800085875,
2310.697457380, 0.800304103,
2310.738321633, 0.810714377,
2310.758753859, 0.807786200,
